formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
PCdRn2Ni8,"['P', 'Cd', 'Rn', 'Ni']","['P - Non-Metal', 'Cd - Metal', 'Rn - Non-Metal', 'Ni - Metal']","[2.19, 1.69, 2.2, 1.91]",4,"{'P': 1.0, 'Cd': 1.0, 'Rn': 2.0, 'Ni': 8.0}",TRUE
Po,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 1.0},FALSE
I4,['I'],['I - Non-Metal'],[2.66],1,{'I': 4.0},FALSE
NdCr3Cl4,"['Nd', 'Cr', 'Cl']","['Nd - Metal', 'Cr - Metal', 'Cl - Non-Metal']","[1.14, 1.66, 3.16]",3,"{'Nd': 1.0, 'Cr': 3.0, 'Cl': 4.0}",TRUE
P,['P'],['P - Non-Metal'],[2.19],1,{'P': 1.0},FALSE
Se3,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 3.0},FALSE
TcSe2S4,"['Tc', 'Se', 'S']","['Tc - Metal', 'Se - Non-Metal', 'S - Non-Metal']","[1.9, 2.55, 2.58]",3,"{'Tc': 1.0, 'Se': 2.0, 'S': 4.0}",FALSE
Se7,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 7.0},FALSE
O4,['O'],['O - Non-Metal'],[3.44],1,{'O': 4.0},FALSE
CrN5,"['Cr', 'N']","['Cr - Metal', 'N - Non-Metal']","[1.66, 3.04]",2,"{'Cr': 1.0, 'N': 5.0}",FALSE
Po5,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 5.0},FALSE
Tl,['Tl'],['Tl - Metal'],[1.62],1,{'Tl': 1.0},TRUE
Cl,['Cl'],['Cl - Non-Metal'],[3.16],1,{'Cl': 1.0},FALSE
Al,['Al'],['Al - Metal'],[1.61],1,{'Al': 1.0},TRUE
Bk3P4,"['Bk', 'P']","['Bk - Metal', 'P - Non-Metal']","[1.3, 2.19]",2,"{'Bk': 3.0, 'P': 4.0}",TRUE
P2Nb3,"['P', 'Nb']","['P - Non-Metal', 'Nb - Metal']","[2.19, 1.6]",2,"{'P': 2.0, 'Nb': 3.0}",TRUE
Po3,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 3.0},FALSE
Al3,['Al'],['Al - Metal'],[1.61],1,{'Al': 3.0},TRUE
S2,['S'],['S - Non-Metal'],[2.58],1,{'S': 2.0},FALSE
MnS4Ta4Be6,"['Mn', 'S', 'Ta', 'Be']","['Mn - Metal', 'S - Non-Metal', 'Ta - Metal', 'Be - Metal']","[1.55, 2.58, 1.5, 1.57]",4,"{'Mn': 1.0, 'S': 4.0, 'Ta': 4.0, 'Be': 6.0}",TRUE
As4,['As'],['As - Non-Metal'],[2.18],1,{'As': 4.0},FALSE
Ge4,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 4.0},FALSE
AgAuSe2,"['Ag', 'Au', 'Se']","['Ag - Metal', 'Au - Metal', 'Se - Non-Metal']","[1.93, 2.54, 2.55]",3,"{'Ag': 1.0, 'Au': 1.0, 'Se': 2.0}",FALSE
Ga,['Ga'],['Ga - Metal'],[1.81],1,{'Ga': 1.0},TRUE
Te6,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 6.0},FALSE
Sb3,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 3.0},FALSE
HfI2Fe8,"['Hf', 'I', 'Fe']","['Hf - Metal', 'I - Non-Metal', 'Fe - Metal']","[1.3, 2.66, 1.83]",3,"{'Hf': 1.0, 'I': 2.0, 'Fe': 8.0}",TRUE
Si,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 1.0},FALSE
Si3,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 3.0},FALSE
CuPo,"['Cu', 'Po']","['Cu - Metal', 'Po - Non-Metal']","[1.9, 2.0]",2,"{'Cu': 1.0, 'Po': 1.0}",TRUE
Se,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 1.0},FALSE
Ga3,['Ga'],['Ga - Metal'],[1.81],1,{'Ga': 3.0},TRUE
Y2Cd2W4S5,"['Y', 'Cd', 'W', 'S']","['Y - Metal', 'Cd - Metal', 'W - Metal', 'S - Non-Metal']","[1.22, 1.69, 2.36, 2.58]",4,"{'Y': 2.0, 'Cd': 2.0, 'W': 4.0, 'S': 5.0}",TRUE
Ge3,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 3.0},FALSE
GaRn2C6Cf6,"['Ga', 'Rn', 'C', 'Cf']","['Ga - Metal', 'Rn - Non-Metal', 'C - Non-Metal', 'Cf - Metal']","[1.81, 2.2, 2.55, 1.3]",4,"{'Ga': 1.0, 'Rn': 2.0, 'C': 6.0, 'Cf': 6.0}",TRUE
As7,['As'],['As - Non-Metal'],[2.18],1,{'As': 7.0},FALSE
LaReI6,"['La', 'Re', 'I']","['La - Metal', 'Re - Metal', 'I - Non-Metal']","[1.1, 1.9, 2.66]",3,"{'La': 1.0, 'Re': 1.0, 'I': 6.0}",TRUE
IY3S6,"['I', 'Y', 'S']","['I - Non-Metal', 'Y - Metal', 'S - Non-Metal']","[2.66, 1.22, 2.58]",3,"{'I': 1.0, 'Y': 3.0, 'S': 6.0}",FALSE
YI2,"['Y', 'I']","['Y - Metal', 'I - Non-Metal']","[1.22, 2.66]",2,"{'Y': 1.0, 'I': 2.0}",TRUE
AsBi,"['As', 'Bi']","['As - Non-Metal', 'Bi - Metal']","[2.18, 2.02]",2,"{'As': 1.0, 'Bi': 1.0}",TRUE
Ge2Pt3,"['Ge', 'Pt']","['Ge - Non-Metal', 'Pt - Metal']","[2.01, 2.28]",2,"{'Ge': 2.0, 'Pt': 3.0}",FALSE
RuLa2S5,"['Ru', 'La', 'S']","['Ru - Metal', 'La - Metal', 'S - Non-Metal']","[2.2, 1.1, 2.58]",3,"{'Ru': 1.0, 'La': 2.0, 'S': 5.0}",TRUE
O3,['O'],['O - Non-Metal'],[3.44],1,{'O': 3.0},FALSE
As2,['As'],['As - Non-Metal'],[2.18],1,{'As': 2.0},FALSE
Sb2,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 2.0},FALSE
S,['S'],['S - Non-Metal'],[2.58],1,{'S': 1.0},FALSE
O,['O'],['O - Non-Metal'],[3.44],1,{'O': 1.0},FALSE
Pb4,['Pb'],['Pb - Metal'],[2.33],1,{'Pb': 4.0},TRUE
TeF3Y5,"['Te', 'F', 'Y']","['Te - Non-Metal', 'F - Non-Metal', 'Y - Metal']","[2.1, 3.98, 1.22]",3,"{'Te': 1.0, 'F': 3.0, 'Y': 5.0}",FALSE
YbMo2V3Fe3At4,"['Yb', 'Mo', 'V', 'Fe', 'At']","['Yb - Metal', 'Mo - Metal', 'V - Metal', 'Fe - Metal', 'At - Non-Metal']","[1.1, 2.16, 1.63, 1.83, 2.2]",5,"{'Yb': 1.0, 'Mo': 2.0, 'V': 3.0, 'Fe': 3.0, 'At': 4.0}",TRUE
P2,['P'],['P - Non-Metal'],[2.19],1,{'P': 2.0},FALSE
B,['B'],['B - Non-Metal'],[2.04],1,{'B': 1.0},FALSE
Pb,['Pb'],['Pb - Metal'],[2.33],1,{'Pb': 1.0},TRUE
Se3C4,"['Se', 'C']","['Se - Non-Metal', 'C - Non-Metal']","[2.55, 2.55]",2,"{'Se': 3.0, 'C': 4.0}",FALSE
Sb3Ge5,"['Sb', 'Ge']","['Sb - Non-Metal', 'Ge - Non-Metal']","[2.05, 2.01]",2,"{'Sb': 3.0, 'Ge': 5.0}",TRUE
Rn3,['Rn'],['Rn - Non-Metal'],[2.2],1,{'Rn': 3.0},FALSE
TcSb3As4,"['Tc', 'Sb', 'As']","['Tc - Metal', 'Sb - Non-Metal', 'As - Non-Metal']","[1.9, 2.05, 2.18]",3,"{'Tc': 1.0, 'Sb': 3.0, 'As': 4.0}",TRUE
Sn4,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 4.0},TRUE
Si6,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 6.0},FALSE
Pb2,['Pb'],['Pb - Metal'],[2.33],1,{'Pb': 2.0},TRUE
N,['N'],['N - Non-Metal'],[3.04],1,{'N': 1.0},FALSE
GaC3I5Tc8,"['Ga', 'C', 'I', 'Tc']","['Ga - Metal', 'C - Non-Metal', 'I - Non-Metal', 'Tc - Metal']","[1.81, 2.55, 2.66, 1.9]",4,"{'Ga': 1.0, 'C': 3.0, 'I': 5.0, 'Tc': 8.0}",FALSE
Br,['Br'],['Br - Non-Metal'],[2.96],1,{'Br': 1.0},FALSE
As6,['As'],['As - Non-Metal'],[2.18],1,{'As': 6.0},FALSE
In,['In'],['In - Metal'],[1.78],1,{'In': 1.0},TRUE
O2,['O'],['O - Non-Metal'],[3.44],1,{'O': 2.0},FALSE
RuS3,"['Ru', 'S']","['Ru - Metal', 'S - Non-Metal']","[2.2, 2.58]",2,"{'Ru': 1.0, 'S': 3.0}",FALSE
TmPo4Ga6,"['Tm', 'Po', 'Ga']","['Tm - Metal', 'Po - Non-Metal', 'Ga - Metal']","[1.25, 2.0, 1.81]",3,"{'Tm': 1.0, 'Po': 4.0, 'Ga': 6.0}",TRUE
S5,['S'],['S - Non-Metal'],[2.58],1,{'S': 5.0},FALSE
TeP4Pd6,"['Te', 'P', 'Pd']","['Te - Non-Metal', 'P - Non-Metal', 'Pd - Metal']","[2.1, 2.19, 2.2]",3,"{'Te': 1.0, 'P': 4.0, 'Pd': 6.0}",FALSE
Ga2,['Ga'],['Ga - Metal'],[1.81],1,{'Ga': 2.0},TRUE
FeSb2Br3Ta3,"['Fe', 'Sb', 'Br', 'Ta']","['Fe - Metal', 'Sb - Non-Metal', 'Br - Non-Metal', 'Ta - Metal']","[1.83, 2.05, 2.96, 1.5]",4,"{'Fe': 1.0, 'Sb': 2.0, 'Br': 3.0, 'Ta': 3.0}",TRUE
F3,['F'],['F - Non-Metal'],[3.98],1,{'F': 3.0},FALSE
Mn2Kr3,"['Mn', 'Kr']","['Mn - Metal', 'Kr - Non-Metal']","[1.55, 3.0]",2,"{'Mn': 2.0, 'Kr': 3.0}",FALSE
C3,['C'],['C - Non-Metal'],[2.55],1,{'C': 3.0},FALSE
S4,['S'],['S - Non-Metal'],[2.58],1,{'S': 4.0},FALSE
S2Ho3C4,"['S', 'Ho', 'C']","['S - Non-Metal', 'Ho - Metal', 'C - Non-Metal']","[2.58, 1.23, 2.55]",3,"{'S': 2.0, 'Ho': 3.0, 'C': 4.0}",FALSE
Te,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 1.0},FALSE
Se4,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 4.0},FALSE
At4,['At'],['At - Non-Metal'],[2.2],1,{'At': 4.0},FALSE
Xe2,['Xe'],['Xe - Non-Metal'],[2.6],1,{'Xe': 2.0},FALSE
Po4,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 4.0},FALSE
SiPb2,"['Si', 'Pb']","['Si - Non-Metal', 'Pb - Metal']","[1.9, 2.33]",2,"{'Si': 1.0, 'Pb': 2.0}",FALSE
Tl3,['Tl'],['Tl - Metal'],[1.62],1,{'Tl': 3.0},TRUE
S3Cr3Au4,"['S', 'Cr', 'Au']","['S - Non-Metal', 'Cr - Metal', 'Au - Metal']","[2.58, 1.66, 2.54]",3,"{'S': 3.0, 'Cr': 3.0, 'Au': 4.0}",FALSE
AgIP4V5,"['Ag', 'I', 'P', 'V']","['Ag - Metal', 'I - Non-Metal', 'P - Non-Metal', 'V - Metal']","[1.93, 2.66, 2.19, 1.63]",4,"{'Ag': 1.0, 'I': 1.0, 'P': 4.0, 'V': 5.0}",FALSE
Sb7,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 7.0},FALSE
Bi3,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 3.0},TRUE
Cl2,['Cl'],['Cl - Non-Metal'],[3.16],1,{'Cl': 2.0},FALSE
XeLaSi2Mn3,"['Xe', 'La', 'Si', 'Mn']","['Xe - Non-Metal', 'La - Metal', 'Si - Non-Metal', 'Mn - Metal']","[2.6, 1.1, 1.9, 1.55]",4,"{'Xe': 1.0, 'La': 1.0, 'Si': 2.0, 'Mn': 3.0}",TRUE
Ge,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 1.0},FALSE
Cl2Os5,"['Cl', 'Os']","['Cl - Non-Metal', 'Os - Metal']","[3.16, 2.2]",2,"{'Cl': 2.0, 'Os': 5.0}",FALSE
ThGe4,"['Th', 'Ge']","['Th - Metal', 'Ge - Non-Metal']","[1.3, 2.01]",2,"{'Th': 1.0, 'Ge': 4.0}",TRUE
RhDySc4Se6,"['Rh', 'Dy', 'Sc', 'Se']","['Rh - Metal', 'Dy - Metal', 'Sc - Metal', 'Se - Non-Metal']","[2.28, 1.22, 1.36, 2.55]",4,"{'Rh': 1.0, 'Dy': 1.0, 'Sc': 4.0, 'Se': 6.0}",TRUE
Sb6,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 6.0},FALSE
C4,['C'],['C - Non-Metal'],[2.55],1,{'C': 4.0},FALSE
Bi4,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 4.0},TRUE
Bi7,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 7.0},TRUE
HfSb2Si5,"['Hf', 'Sb', 'Si']","['Hf - Metal', 'Sb - Non-Metal', 'Si - Non-Metal']","[1.3, 2.05, 1.9]",3,"{'Hf': 1.0, 'Sb': 2.0, 'Si': 5.0}",TRUE
C,['C'],['C - Non-Metal'],[2.55],1,{'C': 1.0},FALSE
FSiS2,"['F', 'Si', 'S']","['F - Non-Metal', 'Si - Non-Metal', 'S - Non-Metal']","[3.98, 1.9, 2.58]",3,"{'F': 1.0, 'Si': 1.0, 'S': 2.0}",FALSE
Te7,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 7.0},FALSE
Nb2P3,"['Nb', 'P']","['Nb - Metal', 'P - Non-Metal']","[1.6, 2.19]",2,"{'Nb': 2.0, 'P': 3.0}",TRUE
S7,['S'],['S - Non-Metal'],[2.58],1,{'S': 7.0},FALSE
PoSe2,"['Po', 'Se']","['Po - Non-Metal', 'Se - Non-Metal']","[2.0, 2.55]",2,"{'Po': 1.0, 'Se': 2.0}",FALSE
WTe3Ir4,"['W', 'Te', 'Ir']","['W - Metal', 'Te - Non-Metal', 'Ir - Metal']","[2.36, 2.1, 2.2]",3,"{'W': 1.0, 'Te': 3.0, 'Ir': 4.0}",FALSE
I5,['I'],['I - Non-Metal'],[2.66],1,{'I': 5.0},FALSE
Tl2,['Tl'],['Tl - Metal'],[1.62],1,{'Tl': 2.0},TRUE
Bi,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 1.0},TRUE
Ar,['Ar'],['Ar - Non-Metal'],[nan],1,{'Ar': 1.0},FALSE
Sb,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 1.0},FALSE
GdBr2,"['Gd', 'Br']","['Gd - Metal', 'Br - Non-Metal']","[1.2, 2.96]",2,"{'Gd': 1.0, 'Br': 2.0}",TRUE
Br5,['Br'],['Br - Non-Metal'],[2.96],1,{'Br': 5.0},FALSE
Pb5,['Pb'],['Pb - Metal'],[2.33],1,{'Pb': 5.0},TRUE
Rh2O5,"['Rh', 'O']","['Rh - Metal', 'O - Non-Metal']","[2.28, 3.44]",2,"{'Rh': 2.0, 'O': 5.0}",FALSE
KrAc2C6,"['Kr', 'Ac', 'C']","['Kr - Non-Metal', 'Ac - Metal', 'C - Non-Metal']","[3.0, 1.1, 2.55]",3,"{'Kr': 1.0, 'Ac': 2.0, 'C': 6.0}",FALSE
Hg2,['Hg'],['Hg - Metal'],[2.0],1,{'Hg': 2.0},TRUE
F2Xe3Sn4,"['F', 'Xe', 'Sn']","['F - Non-Metal', 'Xe - Non-Metal', 'Sn - Metal']","[3.98, 2.6, 1.96]",3,"{'F': 2.0, 'Xe': 3.0, 'Sn': 4.0}",FALSE
At2,['At'],['At - Non-Metal'],[2.2],1,{'At': 2.0},FALSE
B2,['B'],['B - Non-Metal'],[2.04],1,{'B': 2.0},FALSE
Si5,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 5.0},FALSE
B3,['B'],['B - Non-Metal'],[2.04],1,{'B': 3.0},FALSE
Zr3Cu4Se5,"['Zr', 'Cu', 'Se']","['Zr - Metal', 'Cu - Metal', 'Se - Non-Metal']","[1.33, 1.9, 2.55]",3,"{'Zr': 3.0, 'Cu': 4.0, 'Se': 5.0}",TRUE
Po2,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 2.0},FALSE
C2,['C'],['C - Non-Metal'],[2.55],1,{'C': 2.0},FALSE
Bi2,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 2.0},TRUE
Te2,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 2.0},FALSE
TcO5,"['Tc', 'O']","['Tc - Metal', 'O - Non-Metal']","[1.9, 3.44]",2,"{'Tc': 1.0, 'O': 5.0}",FALSE
I2,['I'],['I - Non-Metal'],[2.66],1,{'I': 2.0},FALSE
TeH4,"['Te', 'H']","['Te - Non-Metal', 'H - Unknown']","[2.1, 2.2]",2,"{'Te': 1.0, 'H': 4.0}",FALSE
As5,['As'],['As - Non-Metal'],[2.18],1,{'As': 5.0},FALSE
Sn3,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 3.0},TRUE
HfGe4,"['Hf', 'Ge']","['Hf - Metal', 'Ge - Non-Metal']","[1.3, 2.01]",2,"{'Hf': 1.0, 'Ge': 4.0}",TRUE
O5,['O'],['O - Non-Metal'],[3.44],1,{'O': 5.0},FALSE
Br3,['Br'],['Br - Non-Metal'],[2.96],1,{'Br': 3.0},FALSE
PaO3,"['Pa', 'O']","['Pa - Metal', 'O - Non-Metal']","[1.5, 3.44]",2,"{'Pa': 1.0, 'O': 3.0}",FALSE
Se2Sb3B5,"['Se', 'Sb', 'B']","['Se - Non-Metal', 'Sb - Non-Metal', 'B - Non-Metal']","[2.55, 2.05, 2.04]",3,"{'Se': 2.0, 'Sb': 3.0, 'B': 5.0}",FALSE
Ar2,['Ar'],['Ar - Non-Metal'],[nan],1,{'Ar': 2.0},FALSE
Rn2,['Rn'],['Rn - Non-Metal'],[2.2],1,{'Rn': 2.0},FALSE
Sb5,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 5.0},FALSE
Al2,['Al'],['Al - Metal'],[1.61],1,{'Al': 2.0},TRUE
Si2,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 2.0},FALSE
As3,['As'],['As - Non-Metal'],[2.18],1,{'As': 3.0},FALSE
Ge5,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 5.0},FALSE
KrPo,"['Kr', 'Po']","['Kr - Non-Metal', 'Po - Non-Metal']","[3.0, 2.0]",2,"{'Kr': 1.0, 'Po': 1.0}",FALSE
SAuW2H4Ta5,"['S', 'Au', 'W', 'H', 'Ta']","['S - Non-Metal', 'Au - Metal', 'W - Metal', 'H - Unknown', 'Ta - Metal']","[2.58, 2.54, 2.36, 2.2, 1.5]",5,"{'S': 1.0, 'Au': 1.0, 'W': 2.0, 'H': 4.0, 'Ta': 5.0}",FALSE
SZrFe2O3,"['S', 'Zr', 'Fe', 'O']","['S - Non-Metal', 'Zr - Metal', 'Fe - Metal', 'O - Non-Metal']","[2.58, 1.33, 1.83, 3.44]",4,"{'S': 1.0, 'Zr': 1.0, 'Fe': 2.0, 'O': 3.0}",FALSE
OTa4Hg6,"['O', 'Ta', 'Hg']","['O - Non-Metal', 'Ta - Metal', 'Hg - Metal']","[3.44, 1.5, 2.0]",3,"{'O': 1.0, 'Ta': 4.0, 'Hg': 6.0}",FALSE
TeCr3Os7,"['Te', 'Cr', 'Os']","['Te - Non-Metal', 'Cr - Metal', 'Os - Metal']","[2.1, 1.66, 2.2]",3,"{'Te': 1.0, 'Cr': 3.0, 'Os': 7.0}",TRUE
PCrW3,"['P', 'Cr', 'W']","['P - Non-Metal', 'Cr - Metal', 'W - Metal']","[2.19, 1.66, 2.36]",3,"{'P': 1.0, 'Cr': 1.0, 'W': 3.0}",TRUE
AgLuBr4,"['Ag', 'Lu', 'Br']","['Ag - Metal', 'Lu - Metal', 'Br - Non-Metal']","[1.93, 1.27, 2.96]",3,"{'Ag': 1.0, 'Lu': 1.0, 'Br': 4.0}",TRUE
At,['At'],['At - Non-Metal'],[2.2],1,{'At': 1.0},FALSE
Kr2,['Kr'],['Kr - Non-Metal'],[3.0],1,{'Kr': 2.0},FALSE
P4,['P'],['P - Non-Metal'],[2.19],1,{'P': 4.0},FALSE
PoSi4,"['Po', 'Si']","['Po - Non-Metal', 'Si - Non-Metal']","[2.0, 1.9]",2,"{'Po': 1.0, 'Si': 4.0}",TRUE
P5,['P'],['P - Non-Metal'],[2.19],1,{'P': 5.0},FALSE
BiBkF4V6,"['Bi', 'Bk', 'F', 'V']","['Bi - Metal', 'Bk - Metal', 'F - Non-Metal', 'V - Metal']","[2.02, 1.3, 3.98, 1.63]",4,"{'Bi': 1.0, 'Bk': 1.0, 'F': 4.0, 'V': 6.0}",FALSE
Ge6,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 6.0},FALSE
UI6,"['U', 'I']","['U - Metal', 'I - Non-Metal']","[1.38, 2.66]",2,"{'U': 1.0, 'I': 6.0}",TRUE
NpS4,"['Np', 'S']","['Np - Metal', 'S - Non-Metal']","[1.36, 2.58]",2,"{'Np': 1.0, 'S': 4.0}",TRUE
Gd2Te3,"['Gd', 'Te']","['Gd - Metal', 'Te - Non-Metal']","[1.2, 2.1]",2,"{'Gd': 2.0, 'Te': 3.0}",TRUE
I3,['I'],['I - Non-Metal'],[2.66],1,{'I': 3.0},FALSE
BrPb4Mn7,"['Br', 'Pb', 'Mn']","['Br - Non-Metal', 'Pb - Metal', 'Mn - Metal']","[2.96, 2.33, 1.55]",3,"{'Br': 1.0, 'Pb': 4.0, 'Mn': 7.0}",FALSE
I,['I'],['I - Non-Metal'],[2.66],1,{'I': 1.0},FALSE
PuY2I6,"['Pu', 'Y', 'I']","['Pu - Metal', 'Y - Metal', 'I - Non-Metal']","[1.28, 1.22, 2.66]",3,"{'Pu': 1.0, 'Y': 2.0, 'I': 6.0}",TRUE
N2,['N'],['N - Non-Metal'],[3.04],1,{'N': 2.0},FALSE
Co2Te3,"['Co', 'Te']","['Co - Metal', 'Te - Non-Metal']","[1.88, 2.1]",2,"{'Co': 2.0, 'Te': 3.0}",TRUE
Si4,['Si'],['Si - Non-Metal'],[1.9],1,{'Si': 4.0},FALSE
N2Br2Cd3,"['N', 'Br', 'Cd']","['N - Non-Metal', 'Br - Non-Metal', 'Cd - Metal']","[3.04, 2.96, 1.69]",3,"{'N': 2.0, 'Br': 2.0, 'Cd': 3.0}",FALSE
TiHf2Te4,"['Ti', 'Hf', 'Te']","['Ti - Metal', 'Hf - Metal', 'Te - Non-Metal']","[1.54, 1.3, 2.1]",3,"{'Ti': 1.0, 'Hf': 2.0, 'Te': 4.0}",TRUE
P3,['P'],['P - Non-Metal'],[2.19],1,{'P': 3.0},FALSE
B2Te3,"['B', 'Te']","['B - Non-Metal', 'Te - Non-Metal']","[2.04, 2.1]",2,"{'B': 2.0, 'Te': 3.0}",TRUE
NiOsSb3Ga5,"['Ni', 'Os', 'Sb', 'Ga']","['Ni - Metal', 'Os - Metal', 'Sb - Non-Metal', 'Ga - Metal']","[1.91, 2.2, 2.05, 1.81]",4,"{'Ni': 1.0, 'Os': 1.0, 'Sb': 3.0, 'Ga': 5.0}",TRUE
ZnCa3Ag3Se5,"['Zn', 'Ca', 'Ag', 'Se']","['Zn - Metal', 'Ca - Metal', 'Ag - Metal', 'Se - Non-Metal']","[1.65, 1.0, 1.93, 2.55]",4,"{'Zn': 1.0, 'Ca': 3.0, 'Ag': 3.0, 'Se': 5.0}",TRUE
FSb5Si6,"['F', 'Sb', 'Si']","['F - Non-Metal', 'Sb - Non-Metal', 'Si - Non-Metal']","[3.98, 2.05, 1.9]",3,"{'F': 1.0, 'Sb': 5.0, 'Si': 6.0}",FALSE
YbCu2Sn2Br3Si4,"['Yb', 'Cu', 'Sn', 'Br', 'Si']","['Yb - Metal', 'Cu - Metal', 'Sn - Metal', 'Br - Non-Metal', 'Si - Non-Metal']","[1.1, 1.9, 1.96, 2.96, 1.9]",5,"{'Yb': 1.0, 'Cu': 2.0, 'Sn': 2.0, 'Br': 3.0, 'Si': 4.0}",TRUE
OMnHfOs3S6,"['O', 'Mn', 'Hf', 'Os', 'S']","['O - Non-Metal', 'Mn - Metal', 'Hf - Metal', 'Os - Metal', 'S - Non-Metal']","[3.44, 1.55, 1.3, 2.2, 2.58]",5,"{'O': 1.0, 'Mn': 1.0, 'Hf': 1.0, 'Os': 3.0, 'S': 6.0}",FALSE
At3,['At'],['At - Non-Metal'],[2.2],1,{'At': 3.0},FALSE
Br4,['Br'],['Br - Non-Metal'],[2.96],1,{'Br': 4.0},FALSE
S6,['S'],['S - Non-Metal'],[2.58],1,{'S': 6.0},FALSE
EuI2,"['Eu', 'I']","['Eu - Metal', 'I - Non-Metal']","[1.2, 2.66]",2,"{'Eu': 1.0, 'I': 2.0}",TRUE
